Movie Title,url,imdb_id,Release,Genres,Cast,Crew,Ratings,Votes,Plot,Popularity,Age of Content
3 Idiots,https://www.imdb.com/title/tt1187043,1187043,24 Dec 2009 (Netherlands),"['Comedy', 'Drama']","['Aamir Khan', 'Madhavan', 'Sharman Joshi']","['Rajkumar Hirani', 'Deepak Bhagra', 'Shantanu Moitra', 'C.K. Muraleedharan', 'Rohan Mapuskar']",8.4,365682.0,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".::bane",9.424028571428572,12 years
Taare Zameen Par,https://www.imdb.com/title/tt0986264,986264,21 Dec 2007 (Canada),"['Drama', 'Family']","['Darsheel Safary', 'Aamir Khan', 'Tisca Chopra']","['Aamir Khan', 'Ajay Bijli', 'Amole Gupte', 'Shankar Mahadevan', 'Satyajit Pande', 'Deepa Bhatia']",8.4,179684.0,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.::L. Hamre",6.766914285714286,14 years
PK ,https://www.imdb.com/title/tt2338151,2338151,19 Dec 2014 (Netherlands),"['Comedy', 'Drama', 'Musical', 'Sci-Fi']","['Aamir Khan', 'Rajinder Sharma Nanu', 'Anushka Sharma']","['Rajkumar Hirani', 'Vidhu Vinod Chopra', 'Atul Gogavale', 'C.K. Muraleedharan', 'Mukesh Chhabra']",8.1,171628.0,An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.::Abhijat Joshi,6.501828571428572,7 years
Dangal ,https://www.imdb.com/title/tt5074352,5074352,23 Dec 2016 (Netherlands),"['Action', 'Biography', 'Drama', 'Sport']","['Aamir Khan', 'Fatima Sana Shaikh', 'Sanya Malhotra']","['Nitesh Tiwari', 'Vishesh Agrawal', 'Piyush Gupta', 'Pritam Chakraborty', 'Satyajit Pande', 'Ballu Saluja', 'Mukesh Chhabra']",8.4,169980.0,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.::Ishaan Gulati,6.628285714285715,5 years
Rang De Basanti,https://www.imdb.com/title/tt0405508,405508,26 Jan 2006 (India),"['Comedy', 'Crime', 'Drama']","['Aamir Khan', 'Siddharth', 'Sharman Joshi']","['Rakeysh Omprakash Mehra', 'Adam Bohling', ""Renzil D'Silva"", 'A.R. Rahman', 'Binod Pradhan', 'P.S. Bharathi', 'Elaine Grainger']",8.1,116181.0,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.::Kaushik S Kalmady",5.709728571428571,15 years
Lagaan,https://www.imdb.com/title/tt0169102,169102,13 Feb 2003 (Netherlands),"['Drama', 'Musical', 'Sport']","['Aamir Khan', 'Gracy Singh', 'Rachel Shelley']","['Ashutosh Gowariker', 'Reena Dutta', 'A.R. Rahman', 'Anil Mehta', 'Ballu Saluja', 'Uma Da Cunha']",8.1,109007.0,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.::sd268,5.607242857142857,18 years
My Name Is Khan,https://www.imdb.com/title/tt1188996,1188996,11 Feb 2010 (Netherlands),['Drama'],"['Shah Rukh Khan', 'Kajol', 'Katie A. Keane']","['Karan Johar', 'Sumit Chawla', 'Shibani Bathija', 'Shankar Mahadevan', 'Ravi K. Chandran', 'Deepa Bhatia']",8.0,102384.0,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.::L. Hamre,5.462628571428572,11 years
Swades,https://www.imdb.com/title/tt0367110,367110,17 Dec 2004 (India),['Drama'],"['Shah Rukh Khan', 'Gayatri Joshi', 'Kishori Ballal']","['Ashutosh Gowariker', 'M.G. Sathya', 'A.R. Rahman', 'Mahesh Aney', 'Ballu Saluja', 'Kimberly Mullen']",8.2,86720.0,A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.::Arun,5.338857142857142,17 years
Gangs of Wasseypur,https://www.imdb.com/title/tt1954470,1954470,17 Oct 2013 (Netherlands),"['Action', 'Crime', 'Drama', 'Thriller']","['Manoj Bajpayee', 'Richa Chadha', 'Nawazuddin Siddiqui']","['Anurag Kashyap', 'Apoorva Bakshi', 'Akhilesh Jaiswal', 'Sneha Khanwalkar', 'Rajeev Ravi', 'Shweta Venkat', 'Mukesh Chhabra']",8.2,89073.0,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.::Akshay",5.372471428571428,8 years
Gangs of Wasseypur Part 2,https://www.imdb.com/title/tt1954470,1954470,17 Oct 2013 (Netherlands),"['Action', 'Crime', 'Drama', 'Thriller']","['Manoj Bajpayee', 'Richa Chadha', 'Nawazuddin Siddiqui']","['Anurag Kashyap', 'Apoorva Bakshi', 'Akhilesh Jaiswal', 'Sneha Khanwalkar', 'Rajeev Ravi', 'Shweta Venkat', 'Mukesh Chhabra']",8.2,89073.0,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.::Akshay",5.372471428571428,8 years
Barfi!,https://www.imdb.com/title/tt2082197,2082197,14 Sep 2012 (Netherlands),"['Comedy', 'Drama', 'Romance']","['Ranbir Kapoor', 'Priyanka Chopra Jonas', ""Ileana D'Cruz""]","['Anurag Basu', 'Siddharth Roy Kapur', 'Pritam Chakraborty', 'Ravi Varman', 'Akiv Ali', 'Sanu Roy']",8.1,78517.0,Three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.::Mohijit Mukerjee,5.171671428571429,9 years
Chak De! India,https://www.imdb.com/title/tt0871510,871510,10 Aug 2007 (Australia),"['Drama', 'Family', 'Sport']","['Shah Rukh Khan', 'Vidya Malvade', 'Sagarika Ghatge']","['Shimit Amin', 'Padam Bhushan', 'Jaideep Sahni', 'Salim Merchant', 'Sudeep Chatterjee', 'Arif Ahmed', 'Abhimanyu Ray']",8.2,77203.0,"Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds.::Official Source",5.2029,14 years
Munna Bhai M.B.B.S.,https://www.imdb.com/title/tt0374887,374887,19 Dec 2003 (India),"['Comedy', 'Drama']","['Sanjay Dutt', 'Arshad Warsi', 'Gracy Singh']","['Rajkumar Hirani', 'Vidhu Vinod Chopra', 'Anu Malik', 'Binod Pradhan', 'Rajib Biswas']",8.1,77511.0,A gangster sets out to fulfill his father's dream of becoming a doctor.::Mekaeal Chaudary (Mekaeal_12345@hotmail.com),5.157299999999999,18 years
Bajrangi Bhaijaan,https://www.imdb.com/title/tt3863552,3863552,17 Jul 2015 (Netherlands),"['Action', 'Adventure', 'Comedy', 'Drama']","['Salman Khan', 'Harshaali Malhotra', 'Nawazuddin Siddiqui']","['Kabir Khan', 'Rajessh Bhat', 'Vijayendra Prasad', 'Pritam Chakraborty', 'Aseem Mishra', 'Rameshwar S. Bhagat', 'Mukesh Chhabra']",8.0,80500.0,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.::Soumitra,5.15,6 years
Dil Chahta Hai,https://www.imdb.com/title/tt0292490,292490,10 Aug 2001 (India),"['Comedy', 'Drama', 'Romance']","['Aamir Khan', 'Saif Ali Khan', 'Akshaye Khanna']","['Farhan Akhtar', 'Kassim Jagmagia', 'Shankar Mahadevan', 'Ravi K. Chandran', 'A. Sreekar Prasad', 'Zoya Akhtar']",8.1,69420.0,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension.::Anonymous",5.041714285714286,20 years
Zindagi Na Milegi Dobara,https://www.imdb.com/title/tt1562872,1562872,15 Jul 2011 (Netherlands),"['Comedy', 'Drama']","['Hrithik Roshan', 'Farhan Akhtar', 'Abhay Deol']","['Zoya Akhtar', 'Farhan Akhtar', 'Shankar Mahadevan', 'Carlos Catalán', 'Anand Subaya', 'Nandini Shrikent']",8.2,72345.0,Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.::L. Hamre,5.1335,10 years
Dilwale Dulhania Le Jayenge,https://www.imdb.com/title/tt0112870,112870,20 Oct 1995 (India),"['Drama', 'Romance']","['Shah Rukh Khan', 'Kajol', 'Amrish Puri']","['Aditya Chopra', 'Pamela Chopra', 'Jatin Pandit', 'Manmohan Singh', 'Keshav Naidu']",8.1,66170.0,"When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt.::Official Source",4.995285714285714,26 years
Kal Ho Naa Ho,https://www.imdb.com/title/tt0347304,347304,28 Nov 2003 (India),"['Comedy', 'Drama', 'Musical', 'Romance']","['Shah Rukh Khan', 'Preity Zinta', 'Saif Ali Khan']","['Nikkhil Advani', 'Anadil Hossain', 'Niranjan Iyengar', 'Shankar Mahadevan', 'Anil Mehta', 'Sanjay Sankla', 'Rita Powers']",7.9,66021.0,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her.::Abid K",4.893157142857143,18 years
Drishyam (2015),https://www.imdb.com/title/tt4430212,4430212,30 Jul 2015 (Kuwait),"['Crime', 'Drama', 'Mystery', 'Thriller']","['Ajay Devgn', 'Shriya Saran', 'Tabu']","['Nishikant Kamat', 'Sanjay Agrawal', 'Jeethu Joseph', 'Vishal Bhardwaj', 'Avinash Arun', 'Aarif Sheikh', 'Amit R Kumar']",8.2,76343.0,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",5.190614285714285,6 years
Gunday,https://www.imdb.com/title/tt2574698,2574698,14 Feb 2014 (Netherlands),"['Action', 'Drama', 'Musical', 'Romance']","['Ranveer Singh', 'Arjun Kapoor', 'Priyanka Chopra Jonas']","['Ali Abbas Zafar', 'Padam Bhushan', 'Julius Packiam', 'Aseem Mishra', 'Rameshwar S. Bhagat', 'Shanoo Sharma']",2.4,58498.0,"The lives of Calcutta's most powerful Gunday, Bikram and Bala, changes when Nandita enters it. Then a counter-force takes charge and a thriller unfolds.::Official Source",2.035685714285714,7 years
Queen (2013),https://www.imdb.com/title/tt3322420,3322420,07 Mar 2014 (UK),"['Adventure', 'Comedy', 'Drama']","['Kangana Ranaut', 'Rajkummar Rao', 'Lisa Haydon']","['Vikas Bahl', 'Vivek b Agrawal', 'Rupesh Kumar Ram', 'Siddharth Diwan', 'Anurag Kashyap', 'Parita Mandalia']",8.2,62786.0,A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.::Anonymous,4.996942857142857,7 years
Children of Heaven,https://www.imdb.com/title/tt0118849,118849,16 Oct 1999 (Netherlands),"['Drama', 'Family', 'Sport']","['Mohammad Amir Naji', 'Amir Farrokh Hashemian', 'Bahare Seddiqi']","['Majid Majidi', 'Amir Esfandiari', 'Kayvan Jahanshahi', 'Parviz Malekzaade', 'Hassan Hassandoost']",8.3,69732.0,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.::J. S. Golden",5.146171428571429,22 years
Bhaag Milkha Bhaag,https://www.imdb.com/title/tt2356180,2356180,11 Jul 2013 (Kuwait),"['Biography', 'Drama', 'Sport']","['Farhan Akhtar', 'Sonam Kapoor', 'Pawan Malhotra']","['Rakeysh Omprakash Mehra', 'P.S. Bharathi', 'Prasoon Joshi', 'Shankar Mahadevan', 'Binod Pradhan', 'Aadore Mukherjee']",8.2,64451.0,The truth behind the ascension of Milkha Singh who was scarred because of the India-Pakistan partition.::Pranav Upadhye,5.020728571428571,8 years
Kahaani,https://www.imdb.com/title/tt1821480,1821480,09 Mar 2012 (Netherlands),"['Mystery', 'Thriller']","['Vidya Balan', 'Parambrata Chattopadhyay', 'Indraneil Sengupta']","['Sujoy Ghosh', 'Mohammed Attarwala', 'Vishal Dadlani', 'Satyajit Pande', 'Namrata Rao', 'Roshmi Banerjee']",8.1,60130.0,"A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him.::L. Hamre",4.909,9 years
Ghajini (2008),https://www.imdb.com/title/tt1166100,1166100,25 Dec 2008 (Netherlands),"['Action', 'Drama', 'Mystery', 'Thriller']","['Aamir Khan', 'Asin Thottumkal', 'Jiah Khan']","['A.R. Murugadoss', 'Harish Amin', 'Piyush Mishra', 'A.R. Rahman', 'Ravi K. Chandran', 'Anthony']",7.3,58412.0,A short-term memory loss patient sets out on his journey to avenge the death of his beloved girl.::Nebzyl,4.484457142857143,13 years
Andhadhun,https://www.imdb.com/title/tt8108198,8108198,04 Oct 2018 (Kuwait),"['Crime', 'Drama', 'Music', 'Mystery', 'Thriller']","['Ayushmann Khurrana', 'Tabu', 'Radhika Apte']","['Sriram Raghavan', 'Bobby Adhale', 'Arijit Biswas', 'Daniel B. George', 'K.U. Mohanan', 'Pooja Ladha Surti', 'Girdhar Swami']",8.2,81629.0,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.::Santhosh",5.266128571428571,3 years
Hera Pheri (2000),https://www.imdb.com/title/tt0242519,242519,31 Mar 2000 (India),"['Action', 'Comedy', 'Crime', 'Drama']","['Akshay Kumar', 'Sunil Shetty', 'Paresh Rawal']","['Priyadarshan', 'A.G. Nadiadwala', 'Siddique', 'Anu Malik', 'Jeeva', 'N. Gopalakrishnan']",8.2,61630.0,"Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?::Q. Leo Rahmen",4.980428571428571,21 years
Airlift ,https://www.imdb.com/title/tt4387040,4387040,22 Jan 2016 (France),"['Drama', 'History']","['Akshay Kumar', 'Nimrat Kaur', 'Kumud Mishra']","['Raja Menon', 'Monisha Advani', 'Arijit Dutta', 'Priya Seth', 'Hemanti Sarkar', 'Amit R Kumar']",8.0,54830.0,"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.",4.783285714285714,5 years
Baby (2015),https://www.imdb.com/title/tt3848892,3848892,23 Jan 2015 (Australia),"['Action', 'Thriller']","['Akshay Kumar', 'Danny Denzongpa', 'Rana Daggubati']","['Neeraj Pandey', 'Paul W. Baker', 'Sanjoy Chowdhury', 'Sudeep Chatterjee', 'Shree Narayan Singh', 'Vicky Sidana']",8.0,55055.0,"An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India.::Anonymous",4.7865,6 years
Jab Tak Hai Jaan,https://www.imdb.com/title/tt2176013,2176013,13 Nov 2012 (Netherlands),"['Drama', 'Romance']","['Shah Rukh Khan', 'Katrina Kaif', 'Anupam Kher']","['Yash Chopra', 'Padam Bhushan', 'Aditya Chopra', 'A.R. Rahman', 'Anil Mehta', 'Namrata Rao', 'Neelofar Hamid']",6.7,52879.0,A woman is made to realize that her prayers and sacrifice to save her boyfriend's life may have led him to a fate worse than death.::Rohit Mehta,4.105414285714286,9 years
Sholay,https://www.imdb.com/title/tt0073707,73707,15 Aug 1975 (India),"['Action', 'Adventure', 'Comedy', 'Drama', 'Musical', 'Thriller', 'Western']","['Sanjeev Kumar', 'Dharmendra', 'Amitabh Bachchan']","['Ramesh Sippy', 'G.P. Sippy', 'Javed Akhtar', 'Rahul Dev Burman', 'Dwarka Divecha', 'M.S. Shinde']",8.2,53440.0,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit.::Soumitra",4.863428571428571,46 years
Don 2,https://www.imdb.com/title/tt1285241,1285241,23 Dec 2011 (Netherlands),"['Action', 'Crime', 'Thriller']","['Shah Rukh Khan', 'Priyanka Chopra Jonas', 'Boman Irani']","['Farhan Akhtar', 'Shankar Mahadevan', 'Jason West', 'Ritish Soni', 'Aadore Mukherjee']",7.1,51094.0,"Don turns himself in and escapes with Vardhaan from prison, following which he recruits a team to steal currency printing plates from a bank in Berlin.::rAjOo (gunwanti@hotmail.com)",4.279914285714286,10 years
Haider ,https://www.imdb.com/title/tt3390572,3390572,02 Oct 2014 (Netherlands),"['Action', 'Crime', 'Drama', 'Thriller']","['Tabu', 'Shahid Kapoor', 'Shraddha Kapoor']","['Vishal Bhardwaj', 'Rekha Bhardwaj', 'William Shakespeare', 'Pankaj Kumar', 'Aarif Sheikh', 'Mukesh Chhabra']",8.1,52115.0,"A young man returns to Kashmir after his father's disappearance to confront his uncle, whom he suspects of playing a role in his father's fate.::SidK",4.7945,7 years
Special 26,https://www.imdb.com/title/tt2377938,2377938,07 Feb 2013 (Kuwait),"['Crime', 'Drama', 'Thriller']","['Akshay Kumar', 'Anupam Kher', 'Manoj Bajpayee']","['Neeraj Pandey', 'Shital Bhatia', 'M.M. Keeravani', 'Bobby Singh', 'Shree Narayan Singh', 'Vicky Sidana']",8.0,53480.0,A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.::Swarup Basak and London Mapper,4.764,8 years
Andaz Apna Apna,https://www.imdb.com/title/tt0109117,109117,04 Nov 1994 (India),"['Action', 'Comedy', 'Romance']","['Aamir Khan', 'Salman Khan', 'Raveena Tandon']","['Rajkumar Santoshi', 'Shanti Sinha', 'Tushar Bhatia', 'Ishwar Bidri', 'V.N. Mayekar']",8.1,51570.0,Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal.::Q. Leo,4.786714285714286,27 years
OMG Oh My God!,https://www.imdb.com/title/tt2283748,2283748,28 Sep 2012 (India),"['Comedy', 'Drama', 'Fantasy']","['Paresh Rawal', 'Akshay Kumar', 'Mithun Chakraborty']","['Umesh Shukla', 'Rajesh Bhatt', 'Alok Jha', 'Raj', 'Sethu Sriram', 'Rajesh Panchal']",8.1,54764.0,A shopkeeper takes God to court when his shop is destroyed by an earthquake.::Classified,4.832342857142857,9 years
Veer-Zaara,https://www.imdb.com/title/tt0420332,420332,12 Nov 2004 (UK),"['Drama', 'Family', 'Musical', 'Romance']","['Shah Rukh Khan', 'Preity Zinta', 'Rani Mukerji']","['Yash Chopra', 'Padam Bhushan', 'Aditya Chopra', 'Sanjeev Kohli', 'Anil Mehta', 'Ritesh Soni', 'Sudesh Mahan']",7.8,50923.0,"Veer-Zaara is a saga of love, separation, courage and sacrifice. A love story that is an inspiration and will remain a legend forever.::Official Source",4.627471428571429,17 years
Chennai Express,https://www.imdb.com/title/tt2112124,2112124,08 Aug 2013 (Netherlands),"['Action', 'Adventure', 'Comedy', 'Romance']","['Deepika Padukone', 'Shah Rukh Khan', 'Sathyaraj']","['Rohit Shetty', 'Sadashiv Athule', 'K. Subhash', 'Vishal Dadlani', 'Dudley', 'Sapna Agrawal', 'Mukesh Chhabra']",6.1,51256.0,A man heading towards Rameshwaram via Chennai express to immerse his late grandfather's ashes unwillingly gets caught amidst goons after helping their boss's daughter and them board the train.,3.782228571428571,8 years
Kuch Kuch Hota Hai,https://www.imdb.com/title/tt0172684,172684,16 Oct 1998 (Canada),"['Comedy', 'Drama', 'Musical', 'Romance']","['Shah Rukh Khan', 'Kajol', 'Rani Mukerji']","['Karan Johar', 'Hiroo Johar', 'Jatin Pandit', 'Santhosh Thundiyil', 'Sanjay Sankla']",7.6,50180.0,"During their college years, Anjali was in love with her best-friend Rahul, but he had eyes only for Tina. Years later, Rahul and the now-deceased Tina's eight-year-old daughter attempts to reunite her father and Anjali.::L. Hamre",4.516857142857143,23 years
The Lunchbox,https://www.imdb.com/title/tt2350496,2350496,12 Dec 2013 (Netherlands),"['Drama', 'Romance']","['Irrfan Khan', 'Nimrat Kaur', 'Nawazuddin Siddiqui']","['Ritesh Batra', 'Gitika Aggarwal', 'Max Richter', 'Michael Simmonds', 'John F. Lyons', 'Seher Latif']",7.8,53073.0,A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox.::Cine Mosaic,4.658185714285715,8 years
Jab We Met,https://www.imdb.com/title/tt1093370,1093370,26 Oct 2007 (Australia),"['Comedy', 'Drama', 'Romance']","['Shahid Kapoor', 'Kareena Kapoor', 'Tarun Arora']","['Imtiaz Ali', 'Deepak Bhagra', 'Pritam Chakraborty', 'Nataraja Subramanian', 'Aarti Bajaj']",7.9,49968.0,A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.::rAjOo (gunwanti@hotmail.com),4.663828571428572,14 years
Sanju,https://www.imdb.com/title/tt6452574,6452574,28 Jun 2018 (Kuwait),"['Biography', 'Comedy', 'Drama']","['Ranbir Kapoor', 'Paresh Rawal', 'Manisha Koirala']","['Rajkumar Hirani', 'Zaid Ali', 'Abhiruchi Chand', 'A.R. Rahman', 'Ravi Varman', 'Mukesh Chhabra']",7.7,50552.0,"Sanju is a biopic of the controversial life of actor Sanjay Dutt: his film career, jail sentence and personal life.::alex.mjacko@gmail.com",4.572171428571429,3 years
Kabhi Khushi Kabhie Gham...,https://www.imdb.com/title/tt0248126,248126,14 Dec 2001 (Canada),"['Drama', 'Musical', 'Romance']","['Amitabh Bachchan', 'Jaya Bachchan', 'Shah Rukh Khan']","['Karan Johar', 'Hiroo Johar', 'Babloo Chakravorty', 'Kiran Deohans', 'Sanjay Sankla']",7.4,46989.0,"After marrying a poor woman, rich Rahul is disowned by his father and moves to London to build a new life. Years later, his now grown up little brother Rohan embarks on a mission to bring Rahul back home and reunite the family again.::smoothhoney1265",4.371271428571429,20 years
Dhoom 3,https://www.imdb.com/title/tt1833673,1833673,20 Dec 2013 (Netherlands),"['Action', 'Crime', 'Thriller']","['Aamir Khan', 'Abhishek Bachchan', 'Katrina Kaif']","['Vijay Krishna Acharya', 'Mahendra Bist', 'Pritam Chakraborty', 'Sudeep Chatterjee', 'Ritesh Soni', 'Rita Powers']",5.4,44445.0,"When Sahir, a circus entertainer trained in magic and acrobatics, turns into a thief to take down a corrupt bank in Chicago that ruined his father, Indian officers Jai and Ali are called to catch him.::Official Source",3.3349285714285717,8 years
Rab Ne Bana Di Jodi,https://www.imdb.com/title/tt1182937,1182937,11 Dec 2008 (Netherlands),"['Comedy', 'Drama', 'Music', 'Romance']","['Shah Rukh Khan', 'Anushka Sharma', 'Vinay Pathak']","['Aditya Chopra', 'Salim Merchant', 'Ravi K. Chandran', 'Ritesh Soni']",7.2,45754.0,"A breathtaking, goose flesh igniting, awe inspiring love journey of an ordinary man Suri and his 'total opposite' love Taani.::Official Source",4.253628571428571,13 years
Fan ,https://www.imdb.com/title/tt0116277,116277,07 Nov 1996 (Netherlands),"['Action', 'Drama', 'Sport', 'Thriller']","['Robert De Niro', 'Wesley Snipes', 'Ellen Barkin']","['Tony Scott', 'Wendy Finerman', 'Peter Abrahams', 'Hans Zimmer', 'Dariusz Wolski', 'Claire Simpson', 'Ellen Lewis']",5.9,47323.0,An all star baseball player becomes the unhealthy focus of a down on his luck salesman.::Mystic80,3.626042857142857,25 years
Udaan (2010),https://www.imdb.com/title/tt1639426,1639426,16 Jul 2010 (Netherlands),['Drama'],"['Rajat Barmecha', 'Ronit Roy', 'Manjot Singh']","['Vikramaditya Motwane', 'Vikas Bahl', 'Amit Trivedi', 'Mahendra Shetty', 'Dipika Kalra', 'Jogi Mallang']",8.2,43799.0,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father.::rAjOo (gunwanti@hotmail.com)",4.7257,11 years
Lage Raho Munna Bhai,https://www.imdb.com/title/tt0456144,456144,01 Sep 2006 (Australia),"['Comedy', 'Drama', 'Romance']","['Sanjay Dutt', 'Arshad Warsi', 'Vidya Balan']","['Rajkumar Hirani', 'Vidhu Vinod Chopra', 'Shantanu Moitra', 'C.K. Muraleedharan']",8.0,45068.0,Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.::Aayush Semwal,4.643828571428571,15 years
Vishwaroopam,https://www.imdb.com/title/tt2199711,2199711,25 Jan 2013 (India),"['Action', 'Thriller']","['Kamal Haasan', 'Rahul Bose', 'Shekhar Kapur']","['Kamal Haasan', 'Chandra Haasan', 'H. Banerjee', 'Shankar Mahadevan', 'Sanu John Varughese', 'Mahesh Narayanan', 'Valerie McCaffrey']",8.1,39389.0,"When a classical dancer's suspecting wife sets an investigator behind him, a series of violent events are triggered, revealing his real identity and connection to a darker world.::Prashast Singh",4.6127,8 years
Raees ,https://www.imdb.com/title/tt3405236,3405236,25 Jan 2017 (Netherlands),"['Action', 'Crime', 'Drama']","['Raj Arjun', 'Shubham Chintamani', 'Shubham Tukaram']","['Rahul Dholakia', 'Farhan Akhtar', 'Ram Sampath', 'K.U. Mohanan', 'Deepa Bhatia', 'Honey Trehan']",6.8,42204.0,A bootlegger sets out to improve his community as a promising leader but falls in a political trap.::Arth Joshi,4.002914285714286,4 years
Talaash: The Answer Lies Within,https://www.imdb.com/title/tt1787988,1787988,30 Nov 2012 (Netherlands),"['Crime', 'Drama', 'Mystery', 'Thriller']","['Aamir Khan', 'Kareena Kapoor', 'Nawazuddin Siddiqui']","['Reema Kagti', 'Farhan Akhtar', 'Ram Sampath', 'K.U. Mohanan', 'Anand Subaya', 'Nandini Shrikent']",7.2,40832.0,"Inspector Surjan Shekhawat, who is dealing with a depressing past, has to investigate a high profile murder case, deal with his crumbling marriage and use the help and solace of a prostitute by the name of Rosie.::alex.mjacko@gmail.com",4.183314285714285,9 years
Vicky Donor,https://www.imdb.com/title/tt2317337,2317337,19 Apr 2012 (Australia),"['Comedy', 'Romance']","['Ayushmann Khurrana', 'Yami Gautam', 'Annu Kapoor']","['Shoojit Sircar', 'John Abraham', 'Juhi Chaturvedi', 'Donn Bann', 'Kamaljeet Negi', 'Chandrashekhar Prajapati', 'Jogi Mallang']",7.8,41341.0,"A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic.::vhavnal",4.490585714285714,9 years
Ra.One,https://www.imdb.com/title/tt1562871,1562871,26 Oct 2011 (Australia),"['Action', 'Adventure', 'Sci-Fi']","['Shah Rukh Khan', 'Arjun Rampal', 'Kareena Kapoor']","['Anubhav Sinha', 'Dilip Borkar', 'David Benullo', 'Vishal Dadlani', 'V. Manikanandan', 'Sanjay Sharma', 'Harish Dinkar']",4.7,39690.0,"When the titular antagonist of an action game takes on physical form, it's only the game's less powerful protagonist who can save his creator's family.",2.917,10 years
Om Shanti Om,https://www.imdb.com/title/tt1024943,1024943,09 Nov 2007 (Netherlands),"['Action', 'Comedy', 'Drama', 'Fantasy', 'Musical', 'Romance', 'Thriller']","['Shah Rukh Khan', 'Arjun Rampal', 'Kirron Kher']","['Farah Khan', 'Sanjiv Chawla', 'Vishal Dadlani', 'Manikandan', 'Shirish Kunder']",6.7,40911.0,"In the 1970s, Om, an aspiring actor, is murdered, but is immediately reincarnated into the present day. He attempts to discover the mystery of his demise and find Shanti, the love of his previous life.::Q. Leo Rahman",3.9344428571428574,14 years
